"Timestamp","1. Mobile app privacy is about a user's right to exercise control over decisions about how their information is collected, used, and shared.","2. Consumer control of personal information is essential to mobile app privacy. ","3. I don't believe that mobile app privacy is compromised when the user loses control over their information as a result of an app usage.","1. Mobile app developers seeking information should disclose the way the data are collected, processed, and used.","2. A good mobile app privacy policy should have a clear and conspicuous disclosure. ","3. It is not very important to me that I am aware and knowledgeable about how my personal information will be used.","1. It usually bothers me when smartphone apps ask me for personal information. ","2. When mobile apps ask me for personal information, I sometimes think twice before providing it.","3. It bothers me to give personal information to so many mobile apps.","4. I'm not concerned that smartphone apps are collecting too much personal information about me.","1. Mobile apps should not use personal information for any purpose unless it has been authorized by the individuals who provided information.","2. When people give personal information to a mobile app for some reason, the app developer should never use the information for any other reason.","3. Mobile app developers should be allowed to sell the personal information in their computer databases to other companies.","4. Mobile app developers should never share personal information with other companies unless it has been authorized by the individual who provided the information.","Your MTurk worker ID."
"2019/11/24 11:08:23 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","A1NOINYD1FZ55T"
"2019/11/24 11:08:58 PM EST","Agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2ZFS2QYJKC83I"
"2019/11/24 11:09:15 PM EST","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree","Agree","Agree","A2QH1BQA6GR48O"
"2019/11/24 11:10:30 PM EST","Agree","Strongly agree","Neither agree nor disagree","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","A1DVKS3R9SLQ1H"
"2019/11/24 11:13:33 PM EST","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A3QMAS3KVQTPW0"
"2019/11/24 11:14:08 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","AKSJ3C5O3V9RB"
"2019/11/24 11:14:16 PM EST","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Disagree","Agree","A1KF93C9NTOP42"
"2019/11/24 11:14:20 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A7NZ814Q5MX2R"
"2019/11/24 11:16:54 PM EST","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly disagree","Strongly agree","A8BGHKGBA8O33"
"2019/11/24 11:17:26 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1KGCOR8OXYR72"
"2019/11/24 11:17:46 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Disagree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","A1P3Z24Y6GRNVA"
"2019/11/24 11:19:32 PM EST","Agree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","ARCTFQJD1DZ5R"
"2019/11/24 11:19:49 PM EST","Strongly agree","Agree","Strongly agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","A21AVVEQUEX7DA"
"2019/11/24 11:19:52 PM EST","Agree","Neither agree nor disagree","Strongly agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Agree","Agree","Strongly agree","Neither agree nor disagree","Strongly agree","A28A3HF3LSEIDT"
"2019/11/24 11:20:41 PM EST","Agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","A5LYLHG880ABE"
"2019/11/24 11:21:25 PM EST","Agree","Disagree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Strongly agree","Strongly disagree","Agree","A16X5FB3HAFCKN"
"2019/11/24 11:22:45 PM EST","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","AQD91RFHV1WNE"
"2019/11/24 11:24:56 PM EST","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","A7ECZAYZXAL3W"
"2019/11/24 11:26:13 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","AAWX7QFQUNM6D"
"2019/11/24 11:28:00 PM EST","Agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","A2B8HPIZDKYKDR"
"2019/11/24 11:29:36 PM EST","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Agree","A3BJTC39BU7R4V"
"2019/11/24 11:32:31 PM EST","Agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","A20VJWCDIBKTZI"
"2019/11/24 11:32:45 PM EST","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A36QYJDZBOQ5PQ"
"2019/11/24 11:36:12 PM EST","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1DOJTVB7GXJH7"
"2019/11/24 11:38:14 PM EST","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","Strongly agree","A21AVVEQUEX7DA"
"2019/11/24 11:38:23 PM EST","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A2J7L7S9GCPJ8V"
"2019/11/24 11:40:55 PM EST","Agree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Strongly disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","A3SLY0SJLJZ0J1"
"2019/11/24 11:42:27 PM EST","Agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Neither agree nor disagree","A17DF2ZUXF4F0Q"
"2019/11/24 11:44:42 PM EST","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1R5W4RQZTROD8"
"2019/11/24 11:50:03 PM EST","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A1S68DTVE9GU76"
"2019/11/24 11:50:24 PM EST","Agree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Neither agree nor disagree","Agree","Agree","Strongly disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","AK8ONB60Q4RJ5"
"2019/11/24 11:50:39 PM EST","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Disagree","Strongly agree","Agree","Strongly disagree","Agree","AHPOH7GFQK14J"
"2019/11/24 11:50:40 PM EST","Disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","A21EZISIJ3JPSW"
"2019/11/24 11:50:43 PM EST","Agree","Agree","Agree","Agree","Agree","Disagree","Strongly agree","Agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Disagree","Neither agree nor disagree","A30YUELTPFSF0T"
"2019/11/24 11:51:43 PM EST","Agree","Strongly agree","Neither agree nor disagree","Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree","Agree","Strongly disagree","Disagree","Disagree","Disagree","Disagree","AI6VJYDFQ90ME"
"2019/11/24 11:52:37 PM EST","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","AHV4U78TUUDKI"
"2019/11/24 11:58:39 PM EST","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Strongly agree","Agree","Strongly disagree","Agree","A3L3ZFL1NYFTCF"
"2019/11/25 12:03:58 AM EST","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","A353KETOEN0W8T"
